Material Exchange Platform (MEP),Host,Website,Platform type,Exchange type,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Cost of materials known?,Provenance known?,Quantity known?,Quality known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Enviromate,Enviromate,https://www.enviromate.co.uk,Online listings,Buy and sell,Construction materials,,Yes,Free to buy and sell. Pay for a premium account to promote listings,Private arrangement to pick up or deliver once the material exchange is confirmed. Can pay for delivery using partner service AnyVan,Only if project is community led or charitable,Cost shown on listing,Detail given in listing,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
SOLO Wood Recycling Ltd,National Community Wood Recycling Project,https://solowoodrecycling.co.uk/,Enterprise and shop,Buy  ,Wood,,No,Free ,Contact store for more information,Don't know,Don't know,Local,See in store,See in store,London,43 Factory Lane,,,Croydon,CR0 3RL,,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Timber Recycling Project,National Community Wood Recycling Project,https://www.facebook.com/Riverside-Timber-Recycling-Project-201616990186326/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Contact store for more information,Don't know,Don't know,Local,See in store,See in store,Stapleford Tawney,Passingford Bridge Mill,261 Ongar Road,,Stapleford Tawney,RM4 1RD,Essex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
St Albans Wood Recycling,National Community Wood Recycling Project,http://www.stalbanswoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,St Albans,11A Pickfrod Road,,,St Albans,AL1 5JH,Hertfordshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Useful Wood Company,National Community Wood Recycling Project,https://www.usefulwood.org/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Woking,15-29 Goldsworth Road,,,Woking,GU21 6JT,Woking,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
New Life Wood,National Community Wood Recycling Project,https://www.newlifewood.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Local,See in store,See in store,Basildon,Wat Tyler Park,Pitsea Hall Lane,,Basildon,SS16 4UH,Essex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Roots Timber Reuse CIC,National Community Wood Recycling Project,https://rootsreuse.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Rochester,Plot 7a,Stoney Lane,,Rochester,ME1 3AU,Rochester,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Chiltern Wood Recycling Project,National Community Wood Recycling Project,https://www.chilternwoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,High Wycombe,Unit 2 ,Cressex Business Park,,High Wycombe,HP12 3RD,High Wycombe,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Mid Sussex Wood Recycling Project,National Community Wood Recycling Project,https://www.midsussexwoodrecycling.com/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,West Sussex,Brooklands Farm,Rocky Lane,,Haywards Heath,RH16 4RR,West Sussex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Wood Store Brighton,National Community Wood Recycling Project,https://www.woodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Brighton,Unit 2 ,Longley Industrial Estate,,Elder Place,BN1 4GY,Brighton,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
